time (s),altitude (km),velocity (km / s)
24400,38569.55947601815,1.5826370190699837
24410,38565.33426601891,1.583154436466031
24420,38561.094802249165,1.5836735263421453
24430,38556.84108252306,1.5841942883276698
24440,38552.57310464695,1.5847167220521508
24450,38548.29086641935,1.585240827145351
24460,38543.99436563092,1.5857666032372615
24470,38539.68360006446,1.5862940499581129
24480,38535.35856749494,1.586823166938389
24490,38531.01926568946,1.587353953808837
24500,38526.66569240724,1.5878864102004813
24510,38522.297845399626,1.5884205357446337
24520,38517.915722410115,1.588956330072908
24530,38513.519321174266,1.5894937928172295
24540,38509.108639419785,1.5900329236098485
24550,38504.68367486645,1.590573722083353
24560,38500.24442522616,1.5911161878706785
24570,38495.790888202886,1.5916603206051232
24580,38491.32306149269,1.592206119920358
24590,38486.84094278368,1.592753585450439
24600,38482.344529756076,1.5933027168298202
24610,38477.83382008212,1.5938535136933654
24620,38473.30881142614,1.5944059756763598
24630,38468.7695014445,1.5949601024145235
24640,38464.21588778559,1.5955158935440223
24650,38459.647968089856,1.596073348701481
24660,38455.065739989775,1.5966324675239947
24670,38450.46920110984,1.5971932496491414
24680,38445.85834906653,1.597755694714995
24690,38441.23318146839,1.5983198023601353
24700,38436.59369591594,1.5988855722236628
24710,38431.939890001675,1.5994530039452093
24720,38427.2717613101,1.6000220971649506
24730,38422.58930741771,1.600592851523619
24740,38417.892525892945,1.6011652666625151
24750,38413.181414296254,1.6017393422235202
24760,38408.45597018002,1.6023150778491089
24770,38403.71619108858,1.6028924731823604
24780,38398.962074558214,1.6034715278669722
24790,38394.19361811718,1.6040522415472709
24800,38389.410819285615,1.6046346138682255
24810,38384.613675575616,1.6052186444754595
24820,38379.80218449121,1.6058043330152627
24830,38374.976343528295,1.6063916791346036
24840,38370.136150174716,1.6069806824811423
24850,38365.281601910196,1.6075713427032423
24860,38360.41269620635,1.6081636594499826
24870,38355.52943052669,1.6087576323711705
24880,38350.63180232657,1.6093532611173538
24890,38345.71980905326,1.6099505453398326
24900,38340.79344814587,1.6105494846906718
24910,38335.85271703536,1.611150078822714
24920,38330.897613144545,1.6117523273895917
24930,38325.92813388808,1.6123562300457384
24940,38320.94427667245,1.6129617864464025
24950,38315.94603889598,1.6135689962476585
24960,38310.933417948785,1.6141778591064202
24970,38305.90641121282,1.6147883746804526
24980,38300.86501606183,1.6154005426283835
24990,38295.80922986135,1.6160143626097172
25000,38290.73904996872,1.6166298342848462
25010,38285.65447373305,1.617246957315063
25020,38280.55549849524,1.617865731362573
25030,38275.44212158793,1.6184861560905075
25040,38270.314340335535,1.6191082311629341
25050,38265.17215205422,1.6197319562448713
25060,38260.01555405189,1.6203573310022992
25070,38254.844543628176,1.6209843551021725
25080,38249.659118074465,1.6216130282124328
25090,38244.45927467384,1.6222433500020206
25100,38239.2450107011,1.6228753201408883
25110,38234.01632342276,1.6235089383000119
25120,38228.77321009701,1.6241442041514034
25130,38223.51566797376,1.624781117368124
25140,38218.24369429457,1.6254196776242948
25150,38212.95728629269,1.6260598845951115
25160,38207.65644119304,1.6267017379568534
25170,38202.34115621218,1.6273452373868993
25180,38197.011428558326,1.6279903825637376
25190,38191.667255431355,1.628637173166979
25200,38186.30863402276,1.6292856088773702
25210,38180.93556151564,1.629935689376803
25220,38175.54803508475,1.6305874143483312
25230,38170.14605189643,1.6312407834761786
25240,38164.72960910862,1.6318957964457546
25250,38159.298703870874,1.6325524529436637
25260,38153.85333332431,1.6332107526577209
25270,38148.39349460162,1.6338706952769613
25280,38142.91918482709,1.6345322804916536
25290,38137.43040111655,1.6351955079933131
25300,38131.92714057736,1.6358603774747127
25310,38126.40940030846,1.6365268886298956
25320,38120.8771774003,1.6371950411541885
25330,38115.33046893487,1.637864834744213
25340,38109.769271985686,1.638536269097898
25350,38104.193583617736,1.6392093439144926
25360,38098.60340088756,1.6398840588945776
25370,38092.99872084314,1.640560413740078
25380,38087.37954052398,1.6412384081542761
25390,38081.74585696106,1.6419180418418236
25400,38076.09766717679,1.6425993145087523
25410,38070.43496818508,1.6432822258624888
25420,38064.75775699127,1.6439667756118648
25430,38059.066030592134,1.6446529634671307
25440,38053.359785975896,1.6453407891399674
25450,38047.6390201222,1.6460302523434989
25460,38041.903730002094,1.646721352792304
25470,38036.15391257803,1.6474140902024286
25480,38030.38956480389,1.6481084642913988
25490,38024.61068362491,1.6488044747782327
25500,38018.817265977705,1.649502121383452
25510,38013.009308790286,1.6502014038290962
25520,38007.186808982005,1.6509023218387322
25530,38001.34976346358,1.651604875137469
25540,37995.498169137056,1.6523090634519686
25550,37989.632022895836,1.653014886510458
25560,37983.75132162462,1.653722344042743
25570,37977.856062199455,1.654431435780219
25580,37971.946241487676,1.655142161455884
25590,37966.02185634792,1.6558545208043507
25600,37960.08290363012,1.656568513561858
25610,37954.12938017549,1.6572841394662843
25620,37948.161282816494,1.6580013982571602
25630,37942.17860837688,1.6587202896756785
25640,37936.18135367164,1.6594408134647085
25650,37930.16951550702,1.6601629693688074
25660,37924.143090680474,1.6608867571342327
25670,37918.10207598071,1.6616121765089542
25680,37912.04646818762,1.662339227242667
25690,37905.97626407233,1.663067909086802
25700,37899.89146039715,1.6637982217945404
25710,37893.792053915575,1.6645301651208237
25720,37887.67804137228,1.665263738822368
25730,37881.549419503106,1.6659989426576738
25740,37875.40618503504,1.6667357763870403
25750,37869.24833468625,1.6674742397725768
25760,37863.07586516601,1.6682143325782146
25770,37856.88877317473,1.6689560545697195
25780,37850.68705540395,1.669699405514704
25790,37844.47070853632,1.6704443851826394
25800,37838.239729245564,1.6711909933448674
25810,37831.994114196525,1.6719392297746136
25820,37825.73386004511,1.6726890942469985
25830,37819.45896343831,1.67344058653905
25840,37813.16942101416,1.6741937064297154
25850,37806.86522940175,1.674948453699874
25860,37800.54638522123,1.6757048281323488
25870,37794.21288508374,1.6764628295119188
25880,37787.86472559148,1.6772224576253312
25890,37781.50190333762,1.677983712261313
25900,37775.124414906386,1.6787465932105845
25910,37768.73225687294,1.6795111002658691
25920,37762.32542580346,1.6802772332219078
25930,37755.903918255055,1.6810449918754702
25940,37749.46773077584,1.6818143760253659
25950,37743.01685990485,1.6825853854724582
25960,37736.55130217207,1.6833580200196754
25970,37730.07105409839,1.6841322794720222
25980,37723.57611219567,1.684908163636593
25990,37717.06647296661,1.685685672322583
26000,37710.54213290487,1.686464805341301
26010,37704.00308849495,1.687245562506181
26020,37697.44933621226,1.688027943632795
26030,37690.88087252306,1.6888119485388635
26040,37684.29769388446,1.6895975770442693
26050,37677.69979674443,1.6903848289710683
26060,37671.08717754176,1.6911737041435027
26070,37664.45983270608,1.6919642023880115
26080,37657.817758657824,1.692756323533244
26090,37651.16095180821,1.6935500674100712
26100,37644.48940855928,1.6943454338515982
26110,37637.80312530384,1.6951424226931753
26120,37631.10209842547,1.6959410337724108
26130,37624.386324298495,1.6967412669291828
26140,37617.65579928802,1.697543122005652
26150,37610.91051974985,1.6983465988462716
26160,37604.15048203054,1.6991516972978018
26170,37597.375682467355,1.69995841720932
26180,37590.586117388266,1.700766758432234
26190,37583.78178311193,1.701576720820293
26200,37576.9626759477,1.7023883042296
26210,37570.12879219558,1.7032015085186243
26220,37563.28012814625,1.7040163335482124
26230,37556.41668008104,1.7048327791816007
26240,37549.53844427191,1.7056508452844277
26250,37542.645416981446,1.7064705317247448
26260,37535.737594462844,1.7072918383730298
26270,37528.81497295992,1.7081147651021977
26280,37521.877548707074,1.7089393117876133
26290,37514.92531792929,1.7097654783071023
26300,37507.95827684211,1.7105932645409645
26310,37500.976421651656,1.7114226703719846
26320,37493.979748554564,1.7122536956854446
26330,37486.96825373805,1.713086340369136
26340,37479.94193337981,1.7139206043133715
26350,37472.90078364806,1.7147564874109964
26360,37465.844800701554,1.7155939895574013
26370,37458.77398068949,1.7164331106505337
26380,37451.68831975156,1.7172738505909095
26390,37444.58781401793,1.7181162092816262
26400,37437.4724596092,1.7189601866283728
26410,37430.34225263643,1.719805782539444
26420,37423.19718920111,1.7206529969257494
26430,37416.03726539513,1.7215018297008282
26440,37408.86247730079,1.7223522807808591
26450,37401.6728209908,1.7232043500846734
26460,37394.468292528254,1.7240580375337657
26470,37387.24888796658,1.724913343052307
26480,37380.01460334961,1.7257702665671555
26490,37372.7654347115,1.7266288080078689
26500,37365.50137807673,1.7274889673067173
26510,37358.22242946012,1.7283507443986927
26520,37350.92858486678,1.729214139221523
26530,37343.61984029214,1.7300791517156835
26540,37336.29619172191,1.7309457818244078
26550,37328.95763513205,1.7318140294937001
26560,37321.6041664888,1.7326838946723475
26570,37314.235781748655,1.7335553773119312
26580,37306.85247685832,1.7344284773668392
26590,37299.45424775476,1.7353031947942772
26600,37292.041090365106,1.7361795295542803
26610,37284.61300060672,1.7370574816097266
26620,37277.16997438713,1.737937050926347
26630,37269.71200760406,1.7388182374727377
26640,37262.23909614537,1.7397010412203726
26650,37254.75123588907,1.7405854621436145
26660,37247.24842270333,1.741471500219727
26670,37239.7306524464,1.7423591554288866
26680,37232.19792096669,1.743248427754194
26690,37224.65022410266,1.744139317181687
26700,37217.08755768287,1.7450318237003508
26710,37209.50991752596,1.7459259473021311
26720,37201.91729944062,1.746821687981945
26730,37194.30969922557,1.7477190457376934
26740,37186.6871126696,1.7486180205702728
26750,37179.049535551465,1.7495186124835866
26760,37171.39696363998,1.7504208214845574
26770,37163.72939269392,1.7513246475831388
26780,37156.046818462026,1.7522300907923267
26790,37148.349236683054,1.7531371511281715
26800,37140.636643085665,1.7540458286097902
26810,37132.909033388474,1.7549561232593776
26820,37125.16640330003,1.755868035102218
26830,37117.40874851879,1.756781564166698
26840,37109.63606473311,1.757696710484317
26850,37101.84834762122,1.7586134740897001
26860,37094.04559285123,1.7595318550206096
26870,37086.227796081126,1.7604518533179556
26880,37078.39495295872,1.76137346902581
26890,37070.54705912164,1.7622967021914162
26900,37062.68411019738,1.7632215528652027
26910,37054.80610180317,1.7641480211007932
26920,37046.91302954609,1.7650761069550198
26930,37039.00488902298,1.7660058104879337
26940,37031.081675820424,1.7669371317628175
26950,37023.14338551477,1.7678700708461976
26960,37015.1900136721,1.7688046278078549
26970,37007.221555848206,1.7697408027208366
26980,36999.23800758861,1.7706785956614695
26990,36991.239364428504,1.7716180067093703
27000,36983.22562189276,1.7725590359474572
27010,36975.19677549593,1.7735016834619644
27020,36967.1528207422,1.7744459493424487
27030,36959.09375312541,1.7753918336818075
27040,36951.019568129,1.7763393365762858
27050,36942.930261226036,1.7772884581254909
27060,36934.82582787916,1.7782391984324017
27070,36926.70626354061,1.779191557603383
27080,36918.571563652185,1.7801455357481961
27090,36910.421723645224,1.7811011329800104
27100,36902.25673894062,1.7820583494154152
27110,36894.07660494875,1.7830171851744325
27120,36885.88131706956,1.783977640380528
27130,36877.670870692404,1.7849397151606234
27140,36869.445261196204,1.785903409645107
27150,36861.204483949274,1.786868723967847
27160,36852.94853430941,1.7878356582662025
27170,36844.677407623836,1.7888042126810362
27180,36836.39109922918,1.789774387356725
27190,36828.08960445149,1.7907461824411723
27200,36819.77291860619,1.7917195980858214
27210,36811.4410369981,1.792694634445664
27220,36803.09395492136,1.7936712916792552
27230,36794.73166765949,1.7946495699487237
27240,36786.35417048532,1.7956294694197843
27250,36777.961458661,1.7966109902617498
27260,36769.55352743796,1.7975941326475418
27270,36761.130372056934,1.7985788967537042
27280,36752.691987747916,1.7995652827604136
27290,36744.238369730156,1.8005532908514925
27300,36735.76951321213,1.80154292121442
27310,36727.285413391546,1.8025341740403447
27320,36718.786065455315,1.8035270495240951
27330,36710.27146457953,1.8045215478641936
27340,36701.74160592946,1.8055176692628667
27350,36693.19648465956,1.8065154139260575
27360,36684.63609591339,1.8075147820634379
27370,36676.06043482365,1.8085157738884192
27380,36667.469496512174,1.8095183896181668
27390,36658.86327608986,1.810522629473609
27400,36650.241768656706,1.8115284936794502
27410,36641.60496930177,1.812535982464184
27420,36632.95287310316,1.813545096060103
27430,36624.28547512801,1.8145558347033122
27440,36615.60277043248,1.815568198633741
27450,36606.90475406173,1.8165821880951543
27460,36598.1914210499,1.8175978033351645
27470,36589.462766420096,1.818615044605245
27480,36580.718785184385,1.81963391216074
27490,36571.95947234376,1.8206544062608787
27500,36563.18482288814,1.8216765271687847
27510,36554.39483179635,1.822700275151491
27520,36545.589494036096,1.8237256504799493
27530,36536.76880456396,1.824752653429044
27540,36527.932758325376,1.825781284277603
27550,36519.08135025461,1.8268115433084104
27560,36510.21457527475,1.8278434308082185
27570,36501.33242829771,1.8288769470677595
27580,36492.43490422416,1.8299120923817578
27590,36483.52199794355,1.830948867048942
27600,36474.5937043341,1.8319872713720573
27610,36465.65001826275,1.833027305657877
27620,36456.690934585175,1.834068970217215
27630,36447.716448145744,1.8351122653649379
27640,36438.7265537775,1.8361571914199772
27650,36429.7212463022,1.837203748705341
27660,36420.700520530205,1.8382519375481268
27670,36411.66437126054,1.839301758279533
27680,36402.61279328082,1.8403532112348713
27690,36393.545781367306,1.8414062967535791
27700,36384.46333028481,1.842461015179232
27710,36375.36543478671,1.8435173668595544
27720,36366.25208961495,1.8445753521464336
27730,36357.12328949999,1.845634971395931
27740,36347.97902916084,1.8466962249682948
27750,36338.81930330495,1.847759113227972
27760,36329.644106628286,1.8488236365436201
27770,36320.453433815266,1.8498897952881206
27780,36311.24727953876,1.8509575898385902
27790,36302.025638460065,1.8520270205763936
27800,36292.788505228884,1.853098087887156
27810,36283.535874483285,1.8541707921607744
27820,36274.26774084975,1.8552451337914313
27830,36264.9840989431,1.8563211131776063
27840,36255.68494336649,1.857398730722088
27850,36246.37026871139,1.8584779868319883
27860,36237.04006955759,1.8595588819187514
27870,36227.69434047313,1.8606414163981693
27880,36218.33307601434,1.8617255906903931
27890,36208.95627072582,1.8628114052199454
27900,36199.56391914033,1.8638988604157327
27910,36190.156015778906,1.8649879567110577
27920,36180.73255515074,1.866078694543632
27930,36171.29353175321,1.867171074355589
27940,36161.838940071844,1.8682650965934953
27950,36152.3687745803,1.8693607617083645
27960,36142.88302974038,1.870458070155669
27970,36133.38170000195,1.8715570223953522
27980,36123.86477980297,1.8726576188918418
27990,36114.33226356949,1.8737598601140621
28000,36104.784145715545,1.8748637465354465
28010,36095.22042064325,1.8759692786339508
28020,36085.64108274269,1.877076456892064
28030,36076.046126391935,1.8781852817968236
28040,36066.43554595706,1.8792957538398256
28050,36056.809335792044,1.8804078735172387
28060,36047.16749023881,1.8815216413298177
28070,36037.5100036272,1.8826370577829135
28080,36027.836870274936,1.8837541233864896
28090,36018.14808448762,1.8848728386551306
28100,36008.44364055868,1.885993204108059
28110,35998.72353276943,1.8871152202691455
28120,35988.98775538893,1.888238887666922
28130,35979.23630267409,1.8893642068345955
28140,35969.46916886955,1.8904911783100604
28150,35959.68634820774,1.8916198026359115
28160,35949.88783490878,1.8927500803594552
28170,35940.07362318057,1.893882012032726
28180,35930.243707218644,1.895015598212496
28190,35920.39808120624,1.89615083946029
28200,35910.536739314244,1.8972877363423968
28210,35900.65967570118,1.8984262894298833
28220,35890.76688451319,1.899566499298608
28230,35880.858359884,1.9007083665292321
28240,35870.934095934914,1.901851891707235
28250,35860.994086774794,1.9029970754229248
28260,35851.03832650005,1.9041439182714537
28270,35841.06680919458,1.9052924208528297
28280,35831.07952892978,1.9064425837719305
28290,35821.076479764546,1.9075944076385156
28300,35811.05765574519,1.9087478930672415
28310,35801.02305090548,1.909903040677672
28320,35790.97265926659,1.9110598510942944
28330,35780.90647483708,1.9122183249465305
28340,35770.82449161289,1.9133784628687518
28350,35760.7267035773,1.9145402655002908
28360,35750.61310470091,1.9157037334854559
28370,35740.48368894167,1.9168688674735441
28380,35730.338450244744,1.9180356681188546
28390,35720.177382542635,1.919204136080702
28400,35710.00047975504,1.9203742720234294
28410,35699.80773578892,1.9215460766164227
28420,35689.59914453839,1.9227195505341237
28430,35679.374699884786,1.9238946944560433
28440,35669.13439569659,1.9250715090667756
28450,35658.87822582941,1.9262499950560106
28460,35648.60618412599,1.9274301531185494
28470,35638.31826441616,1.928611983954315
28480,35628.01446051682,1.9297954882683699
28490,35617.694766231936,1.9309806667709257
28500,35607.35917535248,1.9321675201773594
28510,35597.00768165646,1.9333560492082265
28520,35586.64027890885,1.9345462545892746
28530,35576.256960861596,1.9357381370514568
28540,35565.85772125358,1.9369316973309467
28550,35555.44255381063,1.9381269361691507
28560,35545.01145224543,1.939323854312723
28570,35534.56441025758,1.9405224525135791
28580,35524.1014215335,1.9417227315289105
28590,35513.62247974648,1.942924692121196
28600,35503.127578556596,1.94412833505822
28610,35492.61671161071,1.9453336611130818
28620,35482.08987254245,1.9465406710642141
28630,35471.547054972194,1.947749365695394
28640,35460.988252507035,1.9489597457957577
28650,35450.41345874077,1.950171812159816
28660,35439.822667253844,1.9513855655874666
28670,35429.215871613385,1.9526010068840098
28680,35418.59306537314,1.953818136860162
28690,35407.95424207345,1.95503695633207
28700,35397.29939524126,1.956257466121326
28710,35386.62851839005,1.9574796670549806
28720,35375.94160501985,1.9587035599655584
28730,35365.2386486172,1.9599291456910721
28740,35354.51964265515,1.9611564250750364
28750,35343.78458059317,1.9623853989664835
28760,35333.033455877216,1.9636160682199764
28770,35322.26626193964,1.9648484336956242
28780,35311.48299219922,1.9660824962590973
28790,35300.68364006106,1.9673182567816399
28800,35289.868198916665,1.968555716140087
28810,35279.036662143815,1.9697948752168783
28820,35268.189023106635,1.971035734900072
28830,35257.32527515549,1.9722782960833602
28840,35246.445411627035,1.973522559666085
28850,35235.549425844125,1.9747685265532513
28860,35224.63731111584,1.976016197655542
28870,35213.709060737434,1.977265573889334
28880,35202.76466799031,1.9785166561767131
28890,35191.80412614202,1.9797694454454882
28900,35180.82742844621,1.9810239426292056
28910,35169.834568142636,1.9822801486671664
28920,35158.825538457066,1.9835380645044394
28930,35147.80033260135,1.984797691091878
28940,35136.758943773326,1.9860590293861335
28950,35125.70136515683,1.9873220803496723
28960,35114.627589921634,1.9885868449507895
28970,35103.53761122347,1.9898533241636258
28980,35092.43142220399,1.9911215189681806
28990,35081.3090159907,1.9923914303503298
29000,35070.17038569698,1.9936630593018405
29010,35059.01552442207,1.9949364068203852
29020,35047.844425250994,1.9962114739095587
29030,35036.657081254554,1.9974882615788936
29040,35025.45348548934,1.9987667708438752
29050,35014.23363099767,2.000047002725958
29060,35002.997510807545,2.0013289582525804
29070,34991.74511793269,2.002612638457181
29080,34980.47644537246,2.0038980443792145
29090,34969.191486111835,2.0051851770641673
29100,34957.89023312144,2.0064740375635735
29110,34946.57267935745,2.007764626935031
29120,34935.2388177616,2.0090569462422168
29130,34923.88864126117,2.010350996554903
29140,34912.522142768896,2.0116467789489745
29150,34901.139315183056,2.0129442945064437
29160,34889.74015138733,2.0142435443154647
29170,34878.32464425083,2.015544529470355
